-3.86,2.16
-1.41,-8.29
8.95,-9.15
9.53,9.6
7.31,-5.61
-1.15,8.81
5.57,2.65
-8.65,-9.08
-7.86,-6.36
9.59,-6.81
-1.39,5.33
7.12,-4.46
-9.01,-2.36
-7.88,9.3
-9.11,8.58
0.81,-3.9
-6.51,-8.93
0.42,-1.86
7.95,1.03
-3.35,-1.17
6.81,-1.58
3.57,5.3
2.03,-2.74
-0.9,-5.05
6.74,3.48
-6.35,5.29
3.47,1.18
-2.15,6.5
4.68,0.46
-8.88,-9.62
0.59,1.48
1.85,3.81
1.16,-0.02
1.12,-8.62
0.52,8.44
2.34,-0.49
6.03,-6.53
1.01,-1.26
6,1.76
8.27,-3.39
5.77,7.35
-9.5,8.48
9.18,-6.51
6.37,2.99
-1.03,4.72
-9.92,-9.54
6.36,-3.56
-9.29,6.86
-0.38,-2.48
-1.33,-4.29
1.13,-6.17
-1.41,7.74
0.7,8.28
-4.53,-9.55
4.52,3.22
5.83,2.14
8.16,2.39
-3.97,-9.25
-8.44,-1
9.31,0.21
7.94,0.87
3.2,-3.76
-2.98,-8.85
6.6,-6.89
-2.66,6.21
-9.51,-6.56
1.59,-7.51
4.51,-4.02
6.51,-0.71
0.35,2.96
-7.89,-6.92
-1.89,0.76
-4.61,6.58
-2.04,7.44
-1.11,4.96
5.49,-2.06
6.93,-9.26
2.75,-3.73
1.42,-2.36
0.23,9.79
-7.32,6.83
-8.52,-9.84
-8.04,-1.74
6.02,-6.57
6.66,-6.01
-5.38,0.78
-0.03,5.36
-2.71,5.22
-8.11,8.16
-8.73,2.27
3.3,2.52
-3.23,9.29
9.47,1.01
-7.26,6.65
-6.15,8.75
-4.63,3.57
6.78,-3.42
9.4,-3.17
3.42,-7.75
1.76,-2.91
7.05,-3.03
-3.39,3.68
-8.12,3.98
-8.57,2.33
-9.8,3.79
-5.37,-8.59
-5.75,4.88
-4.6,2.02
-4.21,5.41
-7.4,-3.62
-5.48,-0.12
-3.08,6.53
7.67,7.83
-6.66,-6.3
9.44,-8.53
-7.13,-7.51
-4.73,-7.42
1.5,2.66
-4.99,1.5
-6.16,4.96
0.33,1.27
-0.96,5.89
2.31,0.88
8,1.77
4,6.65
1.21,5.93
5.35,-1.13
-2.37,6.64
7.91,-4.73
2.93,-6.58
-7.46,8.07
-2.97,8.16
1.76,-0.95
2.15,6.9
-4.67,-7.82
-8.54,-8.58
-9.3,-2.03
6.09,-2.82
4.27,1.88
-8.56,8.38
7.79,7.32
4.13,-0.39
-6.95,-9.22
-4.99,-9.47
6.32,-9.04
-6.07,-2
8.42,1.86
4.51,7
9.37,9.78
9.24,9.1
-1.92,6.82
9.68,7.16
5.54,2.11
7.16,7.21
-1.93,7.75
-4.23,-2.09
2.47,0.05
3.04,-8.05
7.55,5.28
0.74,-9.57
3.65,-6.65
1.59,-7.78
-5.93,-7.69
6.93,-1.17
-9.89,8.25
4.91,-6.43
-0.92,-4.43
4.96,-0.74
6.02,-4.72
-3.93,0.35
-8.3,-8.97
-6.19,0.83
-5.28,4.42
-1.37,-0.7
-2.31,-3.23
-6.49,8.87
-8.37,9.2
8.65,-9.3
5.72,-5.93
-8.66,-7.04
-6.23,4.7
3.37,9.59
-8.97,-3.02
-7.53,-6.55
-0.8,7.04
2.1,6.84
-9.68,4.19
9.08,-1.25
1.62,1.95
-1.7,8.31
-2.1,4.84
-7.08,-9.53
-2.04,8.21
2.22,-1.53
-8.38,4.73
-2.35,-0.92
-0.63,-9.69
1.63,-9.42
0.32,-0.55
8.36,-7.75
-1.37,-3.31
2.13,3.14
6.14,-7.04
-7.21,-7.29
7.35,-6.23
5.35,-1.6
-9.82,-6.34
9.32,4.4
3.28,-8.77
-2.82,-0.47
-0.97,-3.28
-0.42,-1.44
-3.01,-3.06
6.33,6.66
1.46,3.33
5.69,4.67
-3.22,-6.69
1.4,-2.75
7.35,6.23
3.11,9.38
-8.64,-6.5
-8.45,8.96
-2.23,6.15
-2.42,3.84
-5.73,3.22
3.74,-8.73
-9.71,-6
5.25,-0.74
-7.08,4.58
8.44,-2.55
-5.56,-5.23
1.21,7
-5.73,9.65
-6.39,-7.43
0.09,-6.37
-2.66,0.51
5.94,0.28
3.66,-8.71
-7.3,-2.56
-4.87,2.65
7.94,-9.65
2.49,-3.13
0.81,-4.83
-6.46,-3.45
-6.78,-6.27
6.74,1.24
-4.11,2.66
-2.97,-2.1
9.31,5.62
-2.74,4.98
2.58,8.47
-9.98,1.96
-6.37,4.82
7.11,6.38
-6.65,-9.6
-0.01,-8.94
2.49,-0.04
0.06,-5.46
-8.65,2.8
6.56,8.2
-8.2,-5.92
