156,4.2,0.687,2.7,10,22,63
202,3.7,0.701,2.5,10,21,92
173,4,0.878,3.3,10,22,56
331,4.5,0.886,3.8,10,22,86
124,4.9,0.903,4.2,10,22,32
339,4.1,0.903,3.6,10,22,91
97,4.2,0.859,3.4,10,22,35
257,3.8,0.833,3,10,22,93
84,3.9,0.646,2.4,10,22,36
211,4.6,0.758,3.2,10,22,62
131,4.6,0.758,3.2,10,22,45
112,3.9,0.773,2.9,10,22,37
101,3.9,0.773,2.9,10,22,32
74,3.9,0.773,2.9,10,22,30
62,3.9,0.773,2.9,10,22,21
289,4,0.742,2.8,10,22,112
113,4,0.742,2.8,10,22,39
141,4,0.742,2.8,10,22,52
213,4,0.742,2.8,10,22,80
137,3.7,0.758,2.7,10,22,56
91,3.7,0.758,2.7,10,22,35
