    6,10,15,9,0.81,0.84,7970
    4,20,15,8,0.99,0.99,7962
    1,5,20,9,1.03,0.8,7935
    5,10,15,8,0.9,0.91,7805
    1,10,16,8,0.9,0.91,7758
    1,13,14,8,0.99,0.99,7643
    3,18,15,7,0.94,1.02,7532
    0,16,12,8,1.03,0.8,7451
    2,10,15,8,0.94,1.02,7449
    4,14,17,7,1.025,0.98,7427
    5,16,10,8,0.92,0.78,7406
    1,10,15,8,0.85,0.89,7365
    9,8,19,7,0.75,0.81,7350
    5,8,20,7,1.02,1.085,7303
    2,15,11,8,1.095,0.95,7252
    1,8,16,8,0.92,0.78,7245
    2,15,16,7,0.75,0.81,7166
    5,11,17,7,0.965,0.755,7119
    3,9,14,8,0.92,0.78,7111
    2,14,11,8,1.05,0.95,7044
    5,14,15,7,0.71,0.73,7040
    3,23,10,7,1.02,1.085,7028
    1,16,10,8,1.03,0.8,6942
    1,15,10,7,0.965,0.755,6814
    2,19,12,9,0.78,0.79,6809
    2,20,11,8,0.98,0.97,6802
    0,14,11,12,0.78,0.51,6787
    1,9,14,7,1.08,0.77,6764
    4,15,14,7,1.05,0.95,6761
    0,15,10,7,0.85,0.89,6725
    1,16,9,7,1.02,1.085,6690
    0,18,8,7,1.08,0.77,6600
    0,17,8,7,0.94,1.02,6474
    0,13,15,6,0.95,0.92,6433
    1,13,10,7,0.78,0.79,6416
    0,14,10,8,0.94,1.02,6412
    0,14,9,6,0.9,0.94,6400
    1,10,12,7,0.71,0.73,6360
    0,13,15,6,0.9,0.91,6337
    1,20,27,18,0.72,0.67,6240
    1,11,11,7,0.78,0.51,6232
    1,14,9,7,1.03,0.8,6173
    0,12,15,6,1,0.92,6160
    2,15,12,6,1.095,0.95,6117
    2,13,9,7,0.75,0.81,6062
    1,27,15,19,1.03,0.8,6051
    3,26,15,18,0.72,0.67,6048
    2,19,20,18,0.85,0.89,6035
    1,19,5,6,0.965,0.755,6024
    20,25,9,18,0.85,0.88,6023
    5,25,20,18,1.118,0.995,5993
    4,16,21,18,0.85,0.88,5985
    5,21,17,18,0.75,0.81,5971
    5,21,17,18,0.81,0.84,5962
    6,16,20,18,0.85,0.89,5944
    5,25,20,17,0.85,0.88,5940
    0,14,8,6,0.98,0.97,5927
    3,18,19,17,0.85,0.89,5885
    5,16,20,18,1.08,0.77,5882
    1,14,12,6,0.72,0.67,5880
    3,26,14,18,0.82,0.79,5880
    1,10,15,6,0.96,0.96,5876
    0,3,20,6,0.85,0.89,5873
    3,17,20,18,1.095,0.95,5865
    2,17,20,18,0.965,0.755,5863
    3,21,17,18,0.98,0.97,5856
    2,18,18,18,1.05,0.95,5800
    1,23,22,17,1.03,0.8,5791
    5,30,10,19,0.95,0.92,5782
    5,15,5,6,1,0.92,5778
    5,18,17,18,0.85,0.89,5775
