8.1,7.45
11.11,46.17
95.53,32.96
26.81,3.26
98.78,35.14
86.74,4.69
34.18,23.65
13.13,5.36
31.68,5.34
51.58,41.8
13.98,26.42
43.79,16.08
57.53,39.54
54.5,13.14
66.98,44.96
53.37,16.58
2.73,29.87
80.54,44.91
40.68,18.43
23.8,47.2
65.33,22.93
73.75,35.46
3.4,38.56
19.85,26.98
45.18,41.88
63.44,27.78
27.91,13.81
81.71,9.28
92.05,22.01
73.45,3
16.47,49.89
32.12,30.37
63.78,6.27
15.27,42.44
51.64,10.07
6.48,34.16
83.54,30.65
50.28,14.4
53.78,33.84
87.33,27.07
28.71,48.11
29.03,10.24
29.65,39.1
27.46,7.56
85.2,11.6
71.08,32.5
55.46,2.49
31.27,21.56
39.32,13.05
38.69,34.49
41.98,49.26
68.84,5.36
59.16,42.19
7.91,21.16
27.3,20.21
88.05,6.96
5.58,35.19
21.18,45.94
78.26,5
73.04,49.81
22.4,7.8
5.24,29.52
83.98,45.82
7.5,3.89
14.98,20.54
90.45,11.21
2.14,38.33
9.74,5.46
10.67,28.49
55.28,18.1
92.38,29.91
8.68,6.73
1,28.4
41.21,33.98
85.36,3.73
26.68,39.01
30.08,1.32
0.96,10.71
76.59,9.49
34.39,22.46
83.94,34.55
37.89,28.16
56.32,46.63
63.38,3.36
63.45,33.11
40.54,36.22
6.8,3.99
15.74,8.27
88.76,33.03
98.88,9.18
60.36,21.74
63.51,41.69
71.7,36.23
54.93,28.39
51.4,36.7
87.91,11.17
39.79,4.53
43.57,26.12
77.39,42.73
91.28,25.42
7.35,7.55
99.16,37.69
30.32,45.12
59.84,7.33
20.65,15.41
7.68,13.54
22.08,35.49
81.48,36.44
89.03,19.85
69.92,31.78
45.27,9.36
4.94,20.69
81.56,49.18
80.7,35.48
95.46,31.44
28.23,27.98
83.94,5.98
38.87,38.67
7.51,41.15
74.14,32.99
23.61,8.74
88.49,30.69
3.73,49.41
21.43,6.15
12.79,31.87
38.02,40.35
69.62,41.04
89.51,29.94
2.48,29.25
86.21,25.96
46.25,0.04
94.03,44.76
16.05,23.05
43.94,31.71
7.42,49.54
48.53,6.81
67.52,20.7
87.85,39.14
6.69,22.76
28.04,43.68
81.71,28.57
48.05,16.6
33.45,18.79
82.01,20.25
57,3.65
96.37,45.39
68.18,29.76
71.87,7.35
33.96,49.98
86.34,18.18
60.74,31.13
88.83,32.36
22.21,0.81
26.96,19.3
53.65,37.1
90.21,46.92
50.49,39.59
66.16,23.12
13.9,22.28
75.88,17.7
7.95,32.65
88.87,44.84
69.12,10.77
13.99,33.7
97.23,25.42
57.79,38.21
32.03,21.49
93.53,8.56
18.69,27.21
90.81,30.92
85.74,31.39
88.57,17.98
90.52,42.71
33.39,31.04
73.54,22.36
93.37,3.65
83.77,32.38
26.93,39.83
34.02,49.38
48.55,9.52
88.19,44.14
4.9,33.73
83.64,2.76
60.87,41.51
74.42,38.87
87.48,8.27
80.44,36.33
10.34,36.97
80.45,4.64
26.56,4.25
11.85,23.48
73.23,11.2
37.78,9.39
51.5,39.75
14.64,4.26
68.89,38.5
56.21,48
90.81,37.03
60.75,5.5
25.66,40.19
59.48,2.72
6.35,43.22
55.34,19.74
56.99,17.87
1.69,37.43
35.98,27.03
18.07,41.69
78.4,32.25
72.94,47.69
25.82,41.63
50.11,25
8.1,48.76
29.35,46.38
85.91,29.94
56.31,40.9
58.6,3.23
2.05,30.95
22.47,2.51
66.74,42.46
27.8,9.89
6.55,4.41
23.95,8.86
49.15,25.29
26.36,7.04
93.18,39.44
44.32,10.96
45.95,4.93
5.07,3.77
63.14,10.74
18.14,37.34
47.91,23.64
42.57,2.21
38.54,12.84
72.69,39.1
81.39,26.47
40.47,35.88
67.13,46.09
37.02,2.88
88.5,34.12
63.48,44.16
20.59,24.4
71.5,10.5
9.13,17.21
11.2,30.63
41.75,33.85
13.27,24.69
94.02,0.86
89.2,33.9
45.59,36.28
23.71,11.57
83.05,1.44
59.86,26.56
64.68,28.89
77.18,13.99
58.33,30.25
84.25,39.73
96.78,29.6
71.26,34.5
56.4,24.2
93.58,25.77
11.59,15.7
45.91,14.79
46.5,19.57
87.43,38.62
50.65,6.91
15.91,13.18
77.25,47.91
15.98,42.38
39.87,36.65
57.34,12.89
48.44,34.38
68.72,40.65
13.67,22.16
59.14,31.39
11.79,12.95
15.39,37.15
86.43,24.88
63.61,47.04
82.89,5.29
40.68,37.76
75.97,20.43
57.6,37.85
17.03,2.29
88.59,19.75
61.12,24.23
56.88,15.77
36.18,10.94
82.22,24.19
8.69,1.28
70.18,24.85
39.97,38.65
55.12,25.85
85.9,19.55
62.06,9.33
49.87,9.02
23.57,5.7
38.4,41.03
17.7,41.83
57.3,42.02
91.2,3.6
14.72,28.51
67.16,1.55
96.36,30.28
88.28,16.02
81.28,8.09
74.39,28.37
44.96,44.77
60.77,41.26
7.88,33.15
47.37,1.48
11.57,31.22
69.01,22.93
26.28,35.68
84.96,1.59
33.59,4.33
91.74,44.43
89.93,23.29
2.55,49.01
79.65,48.17
59.46,43.63
15.73,10.97
46.22,10.41
65.72,34.85
41.77,45.95
51.03,36.87
18.24,17.35
53.43,22.71
29.68,31.74
43.58,12.99
20.32,27.27
88.11,1.22
86.7,21.67
51.09,5.15
95.79,15.36
46.56,16.45
63.6,6.24
73.76,18.78
16.26,34.1
82.27,34.49
66.52,45.95
20.14,7.9
76.86,13
81.48,25.82
83.78,19.54
11.47,15.95
46.82,5.03
37.75,6.36
92.99,49.02
54.85,29.56
30.05,43.04
10.75,38.36
99.56,49.29
9.43,41.48
42.14,17.85
45.12,42.49
30.13,23.72
18.17,36.3
80.8,16.33
78.94,35.95
69.88,19.96
5.5,34.55
84.81,45.96
90.8,12.13
14.71,18.35
95.38,31.34
25.63,46.01
36.81,29.03
49.94,6.95
93.03,37.62
44.71,36.54
94.18,40.7
0.78,42.7
35.71,33.26
98.42,3.15
48.97,32.37
93.62,47.5
71.52,11.04
60.97,44.4
74.78,43.51
78.08,34.65
51.58,6.07
62.7,34.04
67.54,43.03
21.18,30.6
58.97,27.8
66.21,49.12
57.53,48.26
1.11,37.08
92.34,46.48
95.4,3.48
76.71,43.23
8.76,9.83
57.71,13.97
58.47,22.14
4.05,34.14
88.63,1.2
90.78,35.65
84.1,49.85
6.04,46.03
98.65,0.16
66.5,1.07
14.86,32.02
68.79,19.39
88.04,26.82
59.21,44.48
11.39,32.7
54.05,0.35
55.2,21.24
1.12,24.35
61.62,4.21
75.32,20.11
40.03,29.73
66.51,30.13
42.4,26.49
8.65,9.29
55.65,19.18
34.17,41.76
61.63,19.08
79.44,36.24
87.55,18.69
67.5,22.41
58.09,12.31
78.32,3.55
33.19,21.93
5.81,35.56
43.43,31.52
21.43,31.55
42.64,34.64
53.3,10.61
99.2,6.7
86.66,10.91
33.09,32.86
78.14,27.95
60.73,20.81
21.93,37.02
92.94,17.74
95.43,37.74
43.32,0.77
48.27,24.8
50.3,22.75
12.34,39.98
12.31,41.07
9.41,1.98
18.36,48.05
55.71,16.66
27.96,48.86
46.44,30.58
20.09,35.54
70.64,28.36
14.69,12.4
70.58,46.81
27.25,35.48
29.26,37.47
59.4,25.07
67.63,7.3
17.44,1.3
39.2,6.35
8.23,3.01
74.55,35.16
53.38,0.33
5.86,23.53
6.87,15.22
40.83,5.9
56.43,29.1
5.78,28.26
60.79,40.69
81.18,26.84
51.16,21.49
46.24,49.71
94.63,7.06
45.29,41.71
23.61,32.53
46.73,43.93
73.81,6.3
24.98,31.97
41.46,30.84
